,estado,municipio,valor_indicador,ano_mes,tipo_exame
1,CE,ALTANEIRA,33,201612,Citopatologico
2,CE,ANTONINA DO NORTE,17,201612,Citopatologico
3,CE,ARARIPE,34,201612,Citopatologico
4,CE,ASSARE,1,201612,Citopatologico
6,CE,BARBALHA,83,201612,Citopatologico
8,CE,BREJO SANTO,194,201612,Citopatologico
9,CE,CAMPOS SALES,2,201612,Citopatologico
10,CE,CARIRIACU,7,201612,Citopatologico
11,CE,CRATO,116,201612,Citopatologico
12,CE,FARIAS BRITO,108,201612,Citopatologico
13,CE,GRANJEIRO,1,201612,Citopatologico
14,CE,JARDIM,91,201612,Citopatologico
15,CE,JATI,11,201612,Citopatologico
17,CE,MAURITI,70,201612,Citopatologico
18,CE,MILAGRES,7,201612,Citopatologico
19,CE,MISSAO VELHA,2,201612,Citopatologico
20,CE,NOVA OLINDA,19,201612,Citopatologico
22,CE,PORTEIRAS,84,201612,Citopatologico
24,CE,SALITRE,16,201612,Citopatologico
26,CE,TARRAFAS,9,201612,Citopatologico
27,CE,VARZEA ALEGRE,79,201612,Citopatologico
28,CE,ABAIARA,1204,201712,Citopatologico
29,CE,ALTANEIRA,538,201712,Citopatologico
30,CE,ANTONINA DO NORTE,122,201712,Citopatologico
31,CE,ARARIPE,1493,201712,Citopatologico
32,CE,ASSARE,1109,201712,Citopatologico
33,CE,AURORA,1841,201712,Citopatologico
34,CE,BARBALHA,3020,201712,Citopatologico
35,CE,BARRO,1424,201712,Citopatologico
36,CE,BREJO SANTO,2019,201712,Citopatologico
37,CE,CAMPOS SALES,854,201712,Citopatologico
38,CE,CARIRIACU,1402,201712,Citopatologico
39,CE,CRATO,3661,201712,Citopatologico
40,CE,FARIAS BRITO,1445,201712,Citopatologico
41,CE,GRANJEIRO,355,201712,Citopatologico
42,CE,JARDIM,1081,201712,Citopatologico
43,CE,JATI,406,201712,Citopatologico
44,CE,JUAZEIRO DO NORTE,5445,201712,Citopatologico
45,CE,MAURITI,2018,201712,Citopatologico
46,CE,MILAGRES,1644,201712,Citopatologico
47,CE,MISSAO VELHA,874,201712,Citopatologico
48,CE,NOVA OLINDA,576,201712,Citopatologico
49,CE,PENAFORTE,566,201712,Citopatologico
50,CE,PORTEIRAS,1181,201712,Citopatologico
51,CE,POTENGI,727,201712,Citopatologico
52,CE,SALITRE,1076,201712,Citopatologico
